#LIBRARY    ENDF/B-VIII.0
#REACTION   CL-35(N,EL)CL-35-L0,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 16379.4     4.08298      Lin-Lin
 16380.2     3.88081      Lin-Lin
 16381       3.70258      Lin-Lin
 16381.8     3.54453      Lin-Lin
 16382.7     3.40361      Lin-Lin
 16383.9     3.21909      Lin-Lin
 16385.1     3.06112      Lin-Lin
 16386.3     2.92473      Lin-Lin
 16387.6     2.80608      Lin-Lin
 16388.8     2.7022       Lin-Lin
 16390.4     2.5826       Lin-Lin
 16392       2.48067      Lin-Lin
 16394.2     2.36819      Lin-Lin
 16396.3     2.27483      Lin-Lin
 16398.5     2.19648      Lin-Lin
 16400.6     2.1301       Lin-Lin
 16403.5     2.05627      Lin-Lin
 16406.2     1.99758      Lin-Lin
 16409       1.94849      Lin-Lin
 16412.7     1.89463      Lin-Lin
 16416.3     1.85096      Lin-Lin
 16420.2     1.8133       Lin-Lin
 16426.3     1.76684      Lin-Lin
 16432.5     1.73178      Lin-Lin
 16438.6     1.70472      Lin-Lin
 16446.8     1.67733      Lin-Lin
 16459       1.64849      Lin-Lin
 16475.3     1.62362      Lin-Lin
 16499.8     1.60158      Lin-Lin
 16532.5     1.58555      Lin-Lin
 16584.8     1.57277      Lin-Lin
 16678.5     1.56446      Lin-Lin
 16700.9     1.56416      Lin-Lin
 16775.5     1.56837      Lin-Lin
 16829.7     1.57926      Lin-Lin
 16867       1.59389      Lin-Lin
 16895       1.61142      Lin-Lin
 16920.2     1.63499      Lin-Lin
 16937.9     1.6583       Lin-Lin
 16956.6     1.69185      Lin-Lin
 16970.3     1.72512      Lin-Lin
 16983.6     1.76715      Lin-Lin
 16992.5     1.80249      Lin-Lin
 17004       1.86049      Lin-Lin
 17012.1     1.91168      Lin-Lin
 17020.1     1.97473      Lin-Lin
 17026.1     2.03085      Lin-Lin
 17032.6     2.1044       Lin-Lin
 17037.4     2.16994      Lin-Lin
 17042.3     2.24655      Lin-Lin
 17047.1     2.33682      Lin-Lin
 17050.6     2.41183      Lin-Lin
 17054.4     2.50368      Lin-Lin
 17058.1     2.60987      Lin-Lin
 17061.8     2.73351      Lin-Lin
 17064.6     2.84002      Lin-Lin
 17067.4     2.96065      Lin-Lin
 17070.2     3.09798      Lin-Lin
 17073       3.25521      Lin-Lin
 17075.8     3.43634      Lin-Lin
 17077.7     3.5728       Lin-Lin
 17079.5     3.71996      Lin-Lin
 17081.3     3.87865      Lin-Lin
 17083.1     4.05465      Lin-Lin
 17084.8     4.25052      Lin-Lin
 17086.6     4.46937      Lin-Lin
 17088.4     4.71491      Lin-Lin
 17090.2     4.99165      Lin-Lin
 17091.9     5.30508      Lin-Lin
