#LIBRARY    INDEN.0-beta
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 56767.1     10.823       Lin-Lin
 56826.6     10.1638      Lin-Lin
 56886.1     9.58095      Lin-Lin
 56945.7     9.06278      Lin-Lin
 57005.2     8.5999       Lin-Lin
 57074.6     8.11985      Lin-Lin
 57150.7     7.65644      Lin-Lin
 57203.6     7.36618      Lin-Lin
 57289.6     6.94346      Lin-Lin
 57372.3     6.5858       Lin-Lin
 57455       6.26842      Lin-Lin
 57554.2     5.933        Lin-Lin
 57653.4     5.63564      Lin-Lin
 57752.6     5.37418      Lin-Lin
 57851.9     5.13976      Lin-Lin
 57984.2     4.86554      Lin-Lin
 58116.4     4.62665      Lin-Lin
 58248.7     4.41686      Lin-Lin
 58381       4.2313       Lin-Lin
 58513.3     4.06608      Lin-Lin
 58711.8     3.8498       Lin-Lin
 58910.2     3.66449      Lin-Lin
 59108.6     3.50456      Lin-Lin
 59307.1     3.36313      Lin-Lin
 59571.7     3.20101      Lin-Lin
 59861       3.05049      Lin-Lin
 60158.7     2.91778      Lin-Lin
 60530.8     2.77762      Lin-Lin
 60902.8     2.66002      Lin-Lin
 61274.9     2.55807      Lin-Lin
 61688.3     2.46097      Lin-Lin
 62184.4     2.36254      Lin-Lin
 62680.5     2.27725      Lin-Lin
 63342       2.18184      Lin-Lin
 64003.4     2.10156      Lin-Lin
 64830.3     2.01732      Lin-Lin
 65657.1     1.94583      Lin-Lin
 66759.9     1.86591      Lin-Lin
 67598.5     1.81556      Lin-Lin
 67653.6     1.81428      Lin-Lin
 67703.3     1.81904      Lin-Lin
 67711.6     1.82826      Lin-Lin
 67716       1.84499      Lin-Lin
 67718.6     1.86349      Lin-Lin
 67721.2     1.89219      Lin-Lin
 67723.8     1.93444      Lin-Lin
 67726.4     1.99309      Lin-Lin
 67728.1     2.04205      Lin-Lin
 67730.8     2.13536      Lin-Lin
 67733.6     2.24263      Lin-Lin
