#LIBRARY    ENDF/B-VIII.0
#REACTION   S-32(N,EL)S-32-L0,SIG
#NUCLEUS    S-32
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 104361      26.1235      Lin-Lin
 104811      26.0512      Lin-Lin
 105261      25.845       Lin-Lin
 105561      25.6299      Lin-Lin
 106162      25.0551      Lin-Lin
 106912      24.1329      Lin-Lin
 108263      22.1913      Lin-Lin
 109163      20.911       Lin-Lin
 109614      20.3418      Lin-Lin
 110064      19.8896      Lin-Lin
 110364      19.708       Lin-Lin
 110514      19.6782      Lin-Lin
 110739      19.7549      Lin-Lin
 110889      19.9322      Lin-Lin
 111002      20.1692      Lin-Lin
 111096      20.4566      Lin-Lin
 111180      20.8103      Lin-Lin
 111264      21.2946      Lin-Lin
 111321      21.71        Lin-Lin
 111377      22.2193      Lin-Lin
 111433      22.8484      Lin-Lin
 111490      23.6269      Lin-Lin
 111532      24.3351      Lin-Lin
 111574      25.1678      Lin-Lin
 111616      26.1631      Lin-Lin
 111658      27.3536      Lin-Lin
 111687      28.2761      Lin-Lin
 111715      29.3181      Lin-Lin
 111742      30.4679      Lin-Lin
 111770      31.7672      Lin-Lin
 111797      33.2346      Lin-Lin
 111825      34.8904      Lin-Lin
 111852      36.7559      Lin-Lin
 111879      38.8464      Lin-Lin
 111907      41.1743      Lin-Lin
 111934      43.7455      Lin-Lin
 111964      46.7501      Lin-Lin
 112008      51.6534      Lin-Lin
 112064      58.033       Lin-Lin
 112089      60.5902      Lin-Lin
 112114      62.7607      Lin-Lin
 112133      64.0393      Lin-Lin
 112152      64.9332      Lin-Lin
 112167      65.3467      Lin-Lin
 112182      65.4778      Lin-Lin
 112203      65.1978      Lin-Lin
 112223      64.4142      Lin-Lin
 112243      63.1644      Lin-Lin
 112264      61.5352      Lin-Lin
 112286      59.4553      Lin-Lin
 112322      55.5043      Lin-Lin
 112395      47.3464      Lin-Lin
 112423      44.4416      Lin-Lin
 112451      41.7591      Lin-Lin
 112479      39.3154      Lin-Lin
