#LIBRARY    ENDF/B-VIII.0
#REACTION   NA-23(N,EL)NA-23-L0,SIG
#NUCLEUS    Na-23
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 35394.3     5.25086      Lin-Lin
 35396.5     5.10946      Lin-Lin
 35402.4     4.63281      Lin-Lin
 35405.1     4.45256      Lin-Lin
 35406.8     4.35504      Lin-Lin
 35409.2     4.2532       Lin-Lin
 35411.5     4.18194      Lin-Lin
 35414       4.13373      Lin-Lin
 35416.4     4.10353      Lin-Lin
 35420.2     4.07801      Lin-Lin
 35426.8     4.0611       Lin-Lin
 35460.9     4.04646      Lin-Lin
 38197.2     4.03758      Lin-Lin
 38475.4     4.03758      Lin-Lin
 40011       4.03948      Lin-Lin
 43204.8     4.02321      Lin-Lin
 45152.2     4.03637      Lin-Lin
 46473.6     4.06949      Lin-Lin
 47433.4     4.11888      Lin-Lin
 48156.8     4.18281      Lin-Lin
 48713.2     4.25861      Lin-Lin
 49158.3     4.34601      Lin-Lin
 49547.8     4.45209      Lin-Lin
 49881.6     4.57611      Lin-Lin
 50159.8     4.71367      Lin-Lin
 50326.7     4.81507      Lin-Lin
 50535.4     4.9706       Lin-Lin
 50677.3     5.09876      Lin-Lin
 50838.6     5.27275      Lin-Lin
 50983.3     5.44293      Lin-Lin
 51127.9     5.64937      Lin-Lin
 51261.5     5.88352      Lin-Lin
 51350.5     6.06845      Lin-Lin
 51439.5     6.28131      Lin-Lin
 51528.5     6.52735      Lin-Lin
 51617.6     6.81184      Lin-Lin
 51706.6     7.12864      Lin-Lin
 51773.4     7.40365      Lin-Lin
 51840.1     7.71518      Lin-Lin
 51906.9     8.07175      Lin-Lin
 51973.7     8.47795      Lin-Lin
 52040.4     8.94578      Lin-Lin
 52107.2     9.48202      Lin-Lin
 52151.7     9.88542      Lin-Lin
 52196.2     10.33        Lin-Lin
 52240.7     10.8205      Lin-Lin
 52285.2     11.3628      Lin-Lin
 52329.8     11.9731      Lin-Lin
 52374.3     12.6518      Lin-Lin
 52418.8     13.4019      Lin-Lin
 52463.3     14.2314      Lin-Lin
 52507.8     15.1486      Lin-Lin
 52552.3     16.1619      Lin-Lin
 52596.8     17.2795      Lin-Lin
 52641.3     18.5089      Lin-Lin
 52685.9     19.8554      Lin-Lin
 52730.4     21.3212      Lin-Lin
 52774.9     22.9033      Lin-Lin
 52841.6     25.4712      Lin-Lin
 52983.5     31.2342      Lin-Lin
 53030.8     33.0039      Lin-Lin
 53064.2     34.1372      Lin-Lin
 53097.6     35.1004      Lin-Lin
 53131       35.8699      Lin-Lin
 53164.4     36.416       Lin-Lin
 53186.6     36.6431      Lin-Lin
 53220       36.7762      Lin-Lin
 53249.2     36.6668      Lin-Lin
 53278.4     36.3694      Lin-Lin
 53309       35.8594      Lin-Lin
 53342.4     35.0959      Lin-Lin
 53375.8     34.1478      Lin-Lin
 53431.4     32.2547      Lin-Lin
 53501       29.5801      Lin-Lin
 53598.4     25.7381      Lin-Lin
 53665.1     23.2572      Lin-Lin
 53709.6     21.7272      Lin-Lin
 53754.1     20.3074      Lin-Lin
 53798.7     19.0007      Lin-Lin
 53843.2     17.8048      Lin-Lin
 53887.7     16.7147      Lin-Lin
 53932.2     15.7236      Lin-Lin
 53976.7     14.824       Lin-Lin
 54021.2     14.0079      Lin-Lin
 54065.7     13.2676      Lin-Lin
 54110.2     12.5958      Lin-Lin
 54154.8     11.9857      Lin-Lin
 54199.3     11.4309      Lin-Lin
 54243.8     10.9259      Lin-Lin
 54288.3     10.4655      Lin-Lin
 54355.1     9.84966      Lin-Lin
 54421.8     9.30852      Lin-Lin
 54488.6     8.8346       Lin-Lin
 54555.4     8.41515      Lin-Lin
 54622.1     8.04501      Lin-Lin
 54688.9     7.71511      Lin-Lin
 54777.9     7.33068      Lin-Lin
 54866.9     6.99899      Lin-Lin
 54956       6.7163       Lin-Lin
 55045       6.47098      Lin-Lin
 55134       6.25666      Lin-Lin
 55267.6     5.98324      Lin-Lin
 55406.7     5.74822      Lin-Lin
 55529.1     5.57549      Lin-Lin
 55690.4     5.3849       Lin-Lin
 55835.1     5.24425      Lin-Lin
 56031.6     5.08894      Lin-Lin
 56335.8     4.87286      Lin-Lin
 56614       4.71472      Lin-Lin
 56892.2     4.58768      Lin-Lin
 57226.1     4.46651      Lin-Lin
 57615.6     4.35585      Lin-Lin
 58116.3     4.24677      Lin-Lin
 58728.4     4.14788      Lin-Lin
 59451.7     4.0619       Lin-Lin
 60453.2     3.97663      Lin-Lin
 61809.4     3.90702      Lin-Lin
 63652.5     3.84666      Lin-Lin
 66573.6     3.78792      Lin-Lin
 72415.8     3.71787      Lin-Lin
 81975.4     3.64256      Lin-Lin
 91611.6     3.59339      Lin-Lin
 101627      3.52816      Lin-Lin
 116437      3.45722      Lin-Lin
 116992      3.46323      Lin-Lin
 117163      3.47916      Lin-Lin
 117228      3.49788      Lin-Lin
 117273      3.52729      Lin-Lin
 117298      3.55781      Lin-Lin
 117321      3.60829      Lin-Lin
 117336      3.66373      Lin-Lin
